artist_id,date,sentiment_score,social_impressions,mention_volume
2,2022-05-15,2.0,360000,20
1,2022-05-22,18.0,360000,20
2,2022-05-22,2.0,360000,20
1,2022-05-29,15.0,300000,17
2,2022-05-29,2.0,300000,17
1,2022-06-05,15.0,300000,17
2,2022-06-05,2.0,300000,17
1,2022-06-12,15.0,300000,17
2,2022-06-12,2.0,300000,17
1,2022-06-19,22.0,440000,24
2,2022-06-19,2.0,440000,24
1,2022-06-26,22.0,440000,25
2,2022-06-26,3.0,440000,25
1,2022-07-03,15.0,300000,18
2,2022-07-03,3.0,300000,18
1,2022-07-10,12.0,240000,18
2,2022-07-10,6.0,240000,18
1,2022-07-17,12.0,240000,19
2,2022-07-17,7.0,240000,19
1,2022-07-24,16.0,320000,20
2,2022-07-24,4.0,320000,20
1,2022-07-31,12.0,240000,16
2,2022-07-31,4.0,240000,16
1,2022-08-07,11.0,220000,14
2,2022-08-07,3.0,220000,14
1,2022-08-14,11.0,220000,14
2,2022-08-14,3.0,220000,14
1,2022-08-21,11.0,220000,13
2,2022-08-21,2.0,220000,13
1,2022-08-28,12.0,240000,15
2,2022-08-28,3.0,240000,15
1,2022-09-04,9.0,180000,11
2,2022-09-04,2.0,180000,11
1,2022-09-11,9.0,180000,13
2,2022-09-11,4.0,180000,13
1,2022-09-18,8.0,160000,10
2,2022-09-18,2.0,160000,10
1,2022-09-25,8.0,160000,11
2,2022-09-25,3.0,160000,11
1,2022-10-02,8.0,160000,11
2,2022-10-02,3.0,160000,11
1,2022-10-09,8.0,160000,11
2,2022-10-09,3.0,160000,11
1,2022-10-16,8.0,160000,11
2,2022-10-16,3.0,160000,11
1,2022-10-23,9.0,180000,11
2,2022-10-23,2.0,180000,11
1,2022-10-30,7.0,140000,9
2,2022-10-30,2.0,140000,9
1,2022-11-06,7.0,140000,10
2,2022-11-06,3.0,140000,10
1,2022-11-13,7.0,140000,10
2,2022-11-13,3.0,140000,10
1,2022-11-20,8.0,160000,13
2,2022-11-20,5.0,160000,13
1,2022-11-27,7.0,140000,10
2,2022-11-27,3.0,140000,10
1,2022-12-04,7.0,140000,10
2,2022-12-04,3.0,140000,10
1,2022-12-11,7.0,140000,12
2,2022-12-11,5.0,140000,12
1,2022-12-18,6.0,120000,9
2,2022-12-18,3.0,120000,9
1,2022-12-25,7.0,140000,11
2,2022-12-25,4.0,140000,11
1,2023-01-01,7.0,140000,10
2,2023-01-01,3.0,140000,10
1,2023-01-08,7.0,140000,11
2,2023-01-08,4.0,140000,11
1,2023-01-15,6.0,120000,9
2,2023-01-15,3.0,120000,9
1,2023-01-22,6.0,120000,9
2,2023-01-22,3.0,120000,9
1,2023-01-29,7.0,140000,12
2,2023-01-29,5.0,140000,12
1,2023-02-05,9.0,180000,12
2,2023-02-05,3.0,180000,12
1,2023-02-12,6.0,120000,9
2,2023-02-12,3.0,120000,9
1,2023-02-19,9.0,180000,13
2,2023-02-19,4.0,180000,13
1,2023-02-26,7.0,160000,15
2,2023-02-26,8.0,160000,15
1,2023-03-05,6.0,120000,11
2,2023-03-05,5.0,120000,11
1,2023-03-12,6.0,120000,12
2,2023-03-12,6.0,120000,12
1,2023-03-19,7.0,140000,12
2,2023-03-19,5.0,140000,12
1,2023-03-26,6.0,120000,11
2,2023-03-26,5.0,120000,11
1,2023-04-02,6.0,120000,11
2,2023-04-02,5.0,120000,11
1,2023-04-09,6.0,120000,11
2,2023-04-09,5.0,120000,11
1,2023-04-16,5.0,100000,9
2,2023-04-16,4.0,100000,9
1,2023-04-23,6.0,120000,11
2,2023-04-23,5.0,120000,11
1,2023-04-30,8.0,160000,12
2,2023-04-30,4.0,160000,12
1,2023-05-07,6.0,120000,11
2,2023-05-07,5.0,120000,11
1,2023-05-14,5.0,100000,8
2,2023-05-14,3.0,100000,8
1,2023-05-21,6.0,120000,9
2,2023-05-21,3.0,120000,9
1,2023-05-28,6.0,120000,10
2,2023-05-28,4.0,120000,10
1,2023-06-04,6.0,120000,10
2,2023-06-04,4.0,120000,10
1,2023-06-11,8.0,160000,11
2,2023-06-11,3.0,160000,11
1,2023-06-18,7.0,140000,12
2,2023-06-18,5.0,140000,12
1,2023-06-25,32.0,640000,36
2,2023-06-25,4.0,640000,36
1,2023-07-02,27.0,540000,31
2,2023-07-02,4.0,540000,31
1,2023-07-09,21.0,420000,24
2,2023-07-09,3.0,420000,24
1,2023-07-16,15.0,300000,19
2,2023-07-16,4.0,300000,19
1,2023-07-23,14.0,280000,19
2,2023-07-23,5.0,280000,19
1,2023-07-30,14.0,280000,18
2,2023-07-30,4.0,280000,18
1,2023-08-06,18.0,360000,22
2,2023-08-06,4.0,360000,22
1,2023-08-13,22.0,440000,26
2,2023-08-13,4.0,440000,26
1,2023-08-20,16.0,320000,21
2,2023-08-20,5.0,320000,21
1,2023-08-27,16.0,320000,22
2,2023-08-27,6.0,320000,22
1,2023-09-03,47.0,940000,52
2,2023-09-03,5.0,940000,52
1,2023-09-10,79.0,1580000,86
2,2023-09-10,7.0,1580000,86
1,2023-09-17,60.0,1200000,65
2,2023-09-17,5.0,1200000,65
1,2023-09-24,28.0,560000,32
2,2023-09-24,4.0,560000,32
1,2023-10-01,22.0,440000,28
2,2023-10-01,6.0,440000,28
1,2023-10-08,21.0,420000,24
2,2023-10-08,3.0,420000,24
1,2023-10-15,18.0,360000,21
2,2023-10-15,3.0,360000,21
1,2023-10-22,20.0,400000,23
2,2023-10-22,3.0,400000,23
1,2023-10-29,21.0,420000,26
2,2023-10-29,5.0,420000,26
1,2023-11-05,18.0,360000,24
2,2023-11-05,6.0,360000,24
1,2023-11-12,17.0,340000,25
2,2023-11-12,8.0,340000,25
1,2023-11-19,19.0,380000,28
2,2023-11-19,9.0,380000,28
1,2023-11-26,16.0,320000,26
2,2023-11-26,10.0,320000,26
1,2023-12-03,18.0,360000,28
2,2023-12-03,10.0,360000,28
1,2023-12-10,28.0,560000,37
2,2023-12-10,9.0,560000,37
1,2023-12-17,21.0,420000,30
2,2023-12-17,9.0,420000,30
1,2023-12-24,20.0,400000,29
2,2023-12-24,9.0,400000,29
1,2023-12-31,19.0,380000,31
2,2023-12-31,12.0,380000,31
1,2024-01-07,17.0,340000,27
2,2024-01-07,10.0,340000,27
1,2024-01-14,16.0,320000,25
2,2024-01-14,9.0,320000,25
1,2024-01-21,19.0,380000,28
2,2024-01-21,9.0,380000,28
1,2024-01-28,18.0,360000,24
2,2024-01-28,6.0,360000,24
1,2024-02-04,38.0,760000,47
2,2024-02-04,9.0,760000,47
1,2024-02-11,21.0,420000,31
2,2024-02-11,10.0,420000,31
1,2024-02-18,30.0,600000,45
2,2024-02-18,15.0,600000,45
1,2024-02-25,35.0,700000,46
2,2024-02-25,11.0,700000,46
1,2024-03-03,26.0,520000,39
2,2024-03-03,13.0,520000,39
1,2024-03-10,24.0,480000,39
2,2024-03-10,15.0,480000,39
1,2024-03-17,35.0,700000,44
2,2024-03-17,9.0,700000,44
1,2024-03-24,34.0,680000,41
2,2024-03-24,7.0,680000,41
1,2024-03-31,27.0,540000,38
2,2024-03-31,11.0,540000,38
1,2024-04-07,23.0,460000,38
2,2024-04-07,15.0,460000,38
1,2024-04-14,22.0,540000,49
2,2024-04-14,27.0,540000,49
1,2024-04-21,22.0,480000,46
2,2024-04-21,24.0,480000,46
1,2024-04-28,24.0,480000,47
2,2024-04-28,23.0,480000,47
1,2024-05-05,28.0,560000,55
2,2024-05-05,27.0,560000,55
1,2024-05-12,40.0,800000,63
2,2024-05-12,23.0,800000,63
1,2024-05-19,24.0,560000,52
2,2024-05-19,28.0,560000,52
1,2024-05-26,22.0,540000,49
2,2024-05-26,27.0,540000,49
1,2024-06-02,20.0,840000,62
2,2024-06-02,42.0,840000,62
1,2024-06-09,21.0,1260000,84
2,2024-06-09,63.0,1260000,84
1,2024-06-16,21.0,1360000,89
2,2024-06-16,68.0,1360000,89
1,2024-06-23,18.0,1420000,89
2,2024-06-23,71.0,1420000,89
1,2024-06-30,18.0,860000,61
2,2024-06-30,43.0,860000,61
1,2024-07-07,21.0,820000,62
2,2024-07-07,41.0,820000,62
1,2024-07-14,20.0,800000,60
2,2024-07-14,40.0,800000,60
1,2024-07-21,21.0,900000,66
2,2024-07-21,45.0,900000,66
1,2024-07-28,18.0,600000,48
2,2024-07-28,30.0,600000,48
1,2024-08-04,18.0,560000,46
2,2024-08-04,28.0,560000,46
1,2024-08-11,18.0,580000,47
2,2024-08-11,29.0,580000,47
1,2024-08-18,20.0,1360000,88
2,2024-08-18,68.0,1360000,88
1,2024-08-25,17.0,1500000,92
2,2024-08-25,75.0,1500000,92
1,2024-09-01,18.0,1040000,70
2,2024-09-01,52.0,1040000,70
1,2024-09-08,24.0,1160000,82
2,2024-09-08,58.0,1160000,82
1,2024-09-15,17.0,920000,63
2,2024-09-15,46.0,920000,63
1,2024-09-22,15.0,1180000,74
2,2024-09-22,59.0,1180000,74
1,2024-09-29,20.0,1280000,84
2,2024-09-29,64.0,1280000,84
1,2024-10-06,23.0,1000000,73
2,2024-10-06,50.0,1000000,73
1,2024-10-13,21.0,940000,68
2,2024-10-13,47.0,940000,68
1,2024-10-20,17.0,900000,62
2,2024-10-20,45.0,900000,62
1,2024-10-27,24.0,1000000,74
2,2024-10-27,50.0,1000000,74
1,2024-11-03,19.0,800000,59
2,2024-11-03,40.0,800000,59
1,2024-11-10,23.0,900000,68
2,2024-11-10,45.0,900000,68
1,2024-11-17,19.0,1120000,75
